,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,0.5057962834176496,0.27296991300054835,1.8529378489292831,0.06636863866685219,-0.03471140758275382,1.046303974418053
net_generation_gwh,-1.12671276150397,0.26400659200729726,-4.267744804920731,3.9876619593192476e-05,-1.6494721817132705,-0.6039533412946697
usage,-0.05120543584845341,0.011509854097159872,-4.448834487058239,1.9548031464304195e-05,-0.07399609652392103,-0.02841477517298579
own_IPP,-0.08438045522646459,0.1547557294193674,-0.5452493135023441,0.5866025691184835,-0.3908122559259704,0.22205134547304123
own_Joint venture,0.7858914319945826,0.45305949908098914,1.734631838839552,0.08539531398510224,-0.11121162614931224,1.6829944901384772
own_RENTAL & SIPP,-0.12455633367578228,0.1593057715974018,-0.7818695608252133,0.4358441437098578,-0.4399976723297471,0.19088500497818256
fuel_HFO,1.2643291418925422,0.1481305084931394,8.53523797868485,5.3286553692737366e-14,0.9710159403303554,1.557642343454729
fuel_HSD,2.5245847999807554,0.30294217621402136,8.333553391381189,1.5674825149996528e-13,1.9247290342951464,3.1244405656663643
fuel_HYDRO,-0.5244567609324907,0.6258401106912435,-0.8380043911746495,0.40370824384863435,-1.76368268677466,0.7147691649096785
fuel_IMPORT,0.5014410146303849,0.45605735369889383,1.0995130558983488,0.27376374297736106,-0.4015980950719661,1.404480124332736
fuel_SOLAR,1.1603847651802934,0.30609860321291577,3.7908855283901906,0.00023719112833019428,0.5542789587842258,1.766490571576361
fuel_WIND,1.081270837279365,0.654988405723423,1.6508243929678734,0.10141123402432546,-0.2156716239540517,2.3782132985127813
age,0.019707699711387933,0.013544671815372772,1.4550149298575341,0.14829795277755892,-0.0071121032764625,0.04652750269923837
log_usage_squared,-0.1024108716969103,0.023019708194319546,-4.448834487058428,1.95480314642895e-05,-0.14799219304784514,-0.05682955034597544
log_age_squared,0.03941539942278016,0.027089343630746148,1.4550149298576602,0.1482979527775242,-0.014224206552921899,0.09305500539848222
log_net_generation_gwh_squared,0.5961434418270033,0.12566559359414828,4.743887525429739,5.880962001267266e-06,0.3473130154802296,0.8449738681737771
